175,Boateng,Germany,defender,287,1,125,10,0
176,Cacau,Germany,forward,132,4,54,1,0
177,Friedrich,Germany,defender,540,1,244,16,0
178,Gomez,Germany,forward,57,2,18,0,0
179,Jansen,Germany,defender,73,1,44,3,0
180,Khedira,Germany,midfielder,517,6,279,16,0
181,Kiessling,Germany,forward,7,0,5,0,0
182,Klose,Germany,forward,356,11,83,4,0
183,Kroos,Germany,midfielder,50,2,29,4,0
184,Lahm,Germany,defender,540,0,360,17,0
185,Marin,Germany,midfielder,29,1,6,0,0
186,Mertesacker,Germany,defender,540,0,282,9,0
187,Mueller,Germany,forward,383,7,165,9,0
188,Neuer,Germany,goalkeeper,540,0,99,0,20
189,Podolski,Germany,forward,531,17,217,9,0
190,Schweinsteiger,Germany,midfielder,531,5,423,23,0
191,Trochowski,Germany,midfielder,109,1,60,5,0
192,Ozil,Germany,midfielder,497,7,266,3,0
193,Addy,Ghana,defender,138,0,51,2,0
194,Adiyiah,Ghana,forward,33,0,9,0,0
195,Amoah,Ghana,forward,11,0,4,1,0
196,Annan,Ghana,midfielder,510,4,307,11,0
197,Appiah,Ghana,midfielder,105,1,54,2,0
198,Asamoah,Ghana,midfielder,480,11,214,9,0
199,Ayew,Ghana,midfielder,389,3,170,15,0
200,Boateng,Ghana,midfielder,464,12,220,20,0
201,Gyan,Ghana,forward,501,27,151,1,0
202,Inkoom,Ghana,defender,187,1,62,3,0
203,John Mensah,Ghana,defender,420,1,108,10,0
204,Jonathan Mensah,Ghana,defender,300,2,105,6,0
205,Kingson,Ghana,goalkeeper,510,0,105,1,20
206,Muntari,Ghana,midfielder,134,5,69,3,0
207,Owusu-Abeyie,Ghana,forward,35,2,22,0,0
208,Pantsil,Ghana,defender,510,2,248,7,0
209,Sarpei,Ghana,defender,463,0,167,13,0
210,Tagoe,Ghana,forward,210,3,48,1,0
211,Vorsah,Ghana,defender,210,1,56,2,0
212,Avraam Papadopoulos,Greece,defender,270,1,70,8,0
213,Charisteas,Greece,forward,61,0,12,2,0
214,Gekas,Greece,forward,169,3,26,0,0
215,Kapetanos,Greece,forward,29,1,7,0,0
216,Karagounis,Greece,midfielder,180,4,105,7,0
217,Katsouranis,Greece,midfielder,234,2,115,4,0
218,Kyrgiakos,Greece,defender,180,4,40,1,0
219,Moras,Greece,defender,90,0,4,2,0
220,Ninis,Greece,midfielder,47,1,22,4,0
221,Papastathopoulos,Greece,defender,127,0,18,10,0
222,Patsatzoglou,Greece,midfielder,80,0,31,0,0
223,Salpingidis,Greece,forward,121,3,28,4,0
224,Samaras,Greece,forward,202,7,43,1,0
225,Seitaridis,Greece,defender,90,0,39,6,0
226,Spiropoulos,Greece,defender,45,1,6,2,0
227,Torosidis,Greece,defender,235,3,74,5,0
228,Tziolis,Greece,midfielder,270,2,153,8,0
229,Tzorvas,Greece,goalkeeper,270,0,41,0,12
230,Vintra,Greece,defender,270,0,89,4,0
231,Alvarez,Honduras,midfielder,180,1,57,1,0
232,Bernardez,Honduras,defender,90,2,34,4,0
233,Chavez,Honduras,defender,270,0,62,3,0
234,Espinoza,Honduras,midfielder,135,0,36,4,0
235,Figueroa,Honduras,defender,270,1,94,5,0
236,Guevara,Honduras,midfielder,156,0,60,6,0
237,Izaguirre,Honduras,defender,180,0,51,8,0
238,Jerry Palacios,Honduras,forward,84,0,19,0,0
239,Mauricio Sabilluen,Honduras,defender,90,0,38,5,0
240,Mendoza,Honduras,defender,180,0,51,3,0
241,Nunez,Honduras,midfielder,172,4,60,1,0
242,Pavon,Honduras,forward,60,1,9,0,0
243,Suazo,Honduras,forward,171,2,35,0,0
244,Thomas,Honduras,midfielder,114,0,37,5,0
245,Turcios,Honduras,midfielder,66,0,27,0,0
246,Valladares,Honduras,goalkeeper,270,0,51,0,12
247,Walter Martinez,Honduras,forward,125,0,43,1,0
248,Welcome,Honduras,forward,87,2,16,0,0
249,Wilson Palacios,Honduras,midfielder,270,0,90,14,0
250,Buffon,Italy,goalkeeper,45,0,4,0,0
251,Camoranesi,Italy,midfielder,76,2,45,2,0
252,Cannavaro,Italy,defender,270,0,138,11,0
253,Chiellini,Italy,defender,270,2,155,7,0
254,Criscito,Italy,defender,225,1,114,6,0
255,De Rossi,Italy,midfielder,270,3,204,9,0
256,Di Natale,Italy,forward,153,6,55,2,0
257,Gattuso,Italy,midfielder,45,0,13,5,0
258,Gilardino,Italy,forward,117,1,32,0,0
259,Iaquinta,Italy,forward,270,5,48,3,0
260,Maggio,Italy,defender,45,0,21,1,0
261,Marchetti,Italy,goalkeeper,225,0,21,0,1
262,Marchisio,Italy,midfielder,120,0,57,2,0
263,Montolivo,Italy,midfielder,236,8,163,9,0
264,Pazzini,Italy,forward,29,0,6,0,0
265,Pepe,Italy,forward,225,3,100,5,0
266,Pirlo,Italy,midfielder,34,0,28,0,0
267,Quagliarella,Italy,forward,45,3,22,2,0
268,Zambrotta,Italy,defender,270,2,128,6,0
269,Barry,Ivory Coast,goalkeeper,270,0,23,0,8
